country,age,sex,score
CA,20s,f,73.518596021902
US,20s,f,80.7895100187688
US,20s,f,71.3918830667223
US,20s,f,87.9371180066041
NZ,20s,f,76.6904502397492
US,20s,f,91.6943402561758
US,20s,f,77.2579701528663
US,20s,f,70.8198063785122
US,20s,f,73.937046173073
GB,20s,f,78.3875410311988
AU,20s,f,71.9791671349889
US,20s,f,84.7609836319905
GB,20s,f,82.6700807682106
US,20s,f,81.3905702593426
CA,20s,f,87.1130733307274
US,20s,f,81.668959746492
US,20s,f,74.0593745594933
US,20s,f,82.7571531402923
US,20s,f,84.5139918433103
US,20s,f,87.0674080658881
US,20s,f,74.6367934559073
US,20s,f,83.3170129429726
US,20s,f,76.1807568016506
CA,20s,f,76.1663851283845
AU,20s,f,83.2096387853935
US,20s,f,94.320751841934
US,20s,f,80.0722156784364
US,20s,f,59.1658695113091
GB,20s,f,86.9977565393561
US,20s,f,89.7990853658744
US,20s,f,83.3686760937174
US,20s,f,88.9624590054154
CA,20s,f,83.6747772459473
CA,20s,f,78.5320622225603
GB,20s,f,80.2771241847603
US,20s,f,81.0198750701689
GB,20s,f,81.9481413811445
US,20s,f,84.388595047806
US,20s,f,86.6182884134884
US,20s,f,76.7941145226359
US,20s,f,77.2396608122757
CA,20s,f,94.2709180748179
US,20s,f,86.8993152952975
US,20s,f,69.7521639721734
CA,20s,f,71.9336897134781
US,20s,f,83.9944578241557
US,20s,f,80.1898449304558
US,20s,f,73.741139808581
US,20s,f,70.2381014114334
US,20s,f,73.7508871725627
AU,20s,f,83.3530625101134
US,20s,f,83.2776962291627
GB,20s,f,91.3767182977781
US,20s,f,77.5103836542084
US,20s,f,86.6074479717229
US,20s,f,84.3548259305646
US,20s,f,68.3562024718239
US,20s,f,79.6823638535681
US,20s,f,77.1198811985198
US,20s,f,77.974583953619
US,20s,f,86.5704437274308
US,20s,f,90.1033603275816
US,20s,f,78.0969072665487
US,20s,f,71.7151310827051
GB,20s,f,90.6033117634555
US,20s,f,78.150513839154
US,20s,f,70.1040824963933
AU,20s,f,85.103343779199
US,20s,f,92.6609603954213
AU,20s,f,74.8031944568668
US,20s,f,86.6984346630662
CA,20s,f,86.2383214823369
US,20s,f,81.2397233787037
CA,20s,f,80.1042891151848
US,20s,f,81.8501849015731
US,20s,f,76.5988201967308
CA,20s,f,85.349630586487
AU,20s,f,88.4245287272192
US,20s,f,75.1609412687165
CA,20s,f,88.5248609685472
AU,20s,f,76.7961771005676
US,20s,f,71.4396620790164
US,20s,f,68.4562431914466
US,20s,f,78.7501975539185
US,20s,f,78.8487217256001
US,20s,f,92.7888471489063
US,20s,f,72.6102739217736
US,20s,f,90.1261502876878
CA,20s,f,88.9934631175406
US,20s,f,74.3283087653773
CA,20s,f,84.2832517277982
US,20s,f,93.6048532924837
US,20s,f,79.2814474730265
GB,20s,f,72.037726853575
CA,20s,f,82.7386933778014
US,20s,f,82.5968740064473
US,20s,f,83.2564998329395
US,20s,f,79.7640063578174
US,20s,f,88.5293672748265
US,20s,f,93.4697165020875
US,20s,f,81.3098521104881
GB,20s,f,85.538726610442
GB,20s,f,86.4688091689632
US,20s,f,86.277267283627
AU,20s,f,71.5303738557157
US,20s,f,71.5595107702982
US,20s,f,86.9590718121756
US,20s,f,65.645440384036
US,20s,f,81.5054519368069
US,20s,f,79.800921137489
US,20s,f,94.7603305876068
US,20s,f,75.9224317967892
US,20s,f,90.2049690662395
US,20s,f,68.6448294491995
US,20s,f,84.2152331822685
US,20s,f,85.5173852693822
US,20s,f,79.6745844185352
CA,20s,f,80.0644533265205
US,20s,f,69.7055857451189
US,20s,f,81.0688300632007
US,20s,f,94.0147220886068
NZ,20s,f,92.3552590732773
US,20s,f,84.0501666601215
US,20s,f,79.3031126970337
GB,20s,f,85.1719683080557
US,20s,f,88.8652029314211
US,20s,f,80.8554791801032
NZ,20s,f,78.1862732266919
US,20s,f,82.3840902497371
US,20s,f,89.9257776992662
US,20s,f,77.8585881704376
US,20s,f,74.4589585633505
US,20s,f,85.288585480954
US,20s,f,90.2305079624057
US,20s,f,85.6594642801654
AU,20s,f,67.3277521417255
US,20s,f,75.4484444147065
CA,20s,f,90.8406707591244
AU,20s,f,77.464438442673
US,20s,f,89.831930616249707
AU,20s,f,88.0379071902661
US,20s,f,78.1342891710145
US,20s,f,76.197207399777
AU,20s,f,80.3474202086883
AU,20s,f,90.4262802259403
US,20s,f,75.7719790829079
GB,20s,f,80.7388171198822
CA,20s,f,87.7324686119599
